Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","012","Algeria","5110","Area","6600","Country area","2010","2010","1000 ha","238174","A","Official figure",""
"RL","Land Use","012","Algeria","5110","Area","6600","Country area","2011","2011","1000 ha","238174","A","Official figure",""
"RL","Land Use","012","Algeria","5110","Area","6600","Country area","2012","2012","1000 ha","238174","A","Official figure",""
"RL","Land Use","012","Algeria","5110","Area","6600","Country area","2013","2013","1000 ha","238174","A","Official figure",""
"RL","Land Use","012","Algeria","5110","Area","6600","Country area","2014","2014","1000 ha","238174","A","Official figure",""
"RL","Land Use","012","Algeria","5110","Area","6600","Country area","2015","2015","1000 ha","238174.1","A","Official figure",""
"RL","Land Use","012","Algeria","5110","Area","6600","Country area","2016","2016","1000 ha","238174.1","A","Official figure",""
"RL","Land Use","012","Algeria","5110","Area","6600","Country area","2017","2017","1000 ha","238174.1","A","Official figure",""
"RL","Land Use","012","Algeria","5110","Area","6600","Country area","2018","2018","1000 ha","238174.1","A","Official figure",""
"RL","Land Use","012","Algeria","5110","Area","6600","Country area","2019","2019","1000 ha","238174","A","Official figure",""
"RL","Land Use","012","Algeria","5110","Area","6600","Country area","2020","2020","1000 ha","238174","A","Official figure",""
"RL","Land Use","012","Algeria","5110","Area","6600","Country area","2021","2021","1000 ha","238174","A","Official figure",""
"RL","Land Use","012","Algeria","5110","Area","6600","Country area","2022","2022","1000 ha","238174","A","Official figure",""
"RL","Land Use","012","Algeria","5110","Area","6600","Country area","2023","2023","1000 ha","238174","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6646","Forest land","2010","2010","1000 ha","1701.47","X","Figure from external organization",""
"RL","Land Use","012","Algeria","5110","Area","6646","Forest land","2011","2011","1000 ha","1700.796","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6646","Forest land","2012","2012","1000 ha","1700.122","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6646","Forest land","2013","2013","1000 ha","1699.448","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6646","Forest land","2014","2014","1000 ha","1698.774","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6646","Forest land","2015","2015","1000 ha","1698.1","X","Figure from external organization",""
"RL","Land Use","012","Algeria","5110","Area","6646","Forest land","2016","2016","1000 ha","1697.426","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6646","Forest land","2017","2017","1000 ha","1696.752","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6646","Forest land","2018","2018","1000 ha","1696.078","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6646","Forest land","2019","2019","1000 ha","1695.404","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6646","Forest land","2020","2020","1000 ha","1694.73","X","Figure from external organization",""
"RL","Land Use","012","Algeria","5110","Area","6646","Forest land","2021","2021","1000 ha","1694.056","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6646","Forest land","2022","2022","1000 ha","1693.382","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6646","Forest land","2023","2023","1000 ha","1692.708","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6646","Forest land","2024","2024","1000 ha","1692.034","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6646","Forest land","2025","2025","1000 ha","1691.36","X","Figure from external organization",""
"RL","Land Use","012","Algeria","5110","Area","6717","Naturally regenerating forest","2010","2010","1000 ha","1438.22","X","Figure from external organization",""
"RL","Land Use","012","Algeria","5110","Area","6717","Naturally regenerating forest","2011","2011","1000 ha","1436.92","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6717","Naturally regenerating forest","2012","2012","1000 ha","1435.62","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6717","Naturally regenerating forest","2013","2013","1000 ha","1434.32","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6717","Naturally regenerating forest","2014","2014","1000 ha","1433.02","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6717","Naturally regenerating forest","2015","2015","1000 ha","1431.72","X","Figure from external organization",""
"RL","Land Use","012","Algeria","5110","Area","6717","Naturally regenerating forest","2016","2016","1000 ha","1430.42","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6717","Naturally regenerating forest","2017","2017","1000 ha","1429.12","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6717","Naturally regenerating forest","2018","2018","1000 ha","1427.82","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6717","Naturally regenerating forest","2019","2019","1000 ha","1426.52","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6717","Naturally regenerating forest","2020","2020","1000 ha","1425.22","X","Figure from external organization",""
"RL","Land Use","012","Algeria","5110","Area","6717","Naturally regenerating forest","2021","2021","1000 ha","1423.92","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6717","Naturally regenerating forest","2022","2022","1000 ha","1422.62","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6717","Naturally regenerating forest","2023","2023","1000 ha","1421.32","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6717","Naturally regenerating forest","2024","2024","1000 ha","1420.02","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6717","Naturally regenerating forest","2025","2025","1000 ha","1418.72","X","Figure from external organization",""
"RL","Land Use","012","Algeria","5110","Area","6714","Primary Forest","2010","2010","1000 ha","0","X","Figure from external organization",""
"RL","Land Use","012","Algeria","5110","Area","6714","Primary Forest","2011","2011","1000 ha","0","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6714","Primary Forest","2012","2012","1000 ha","0","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6714","Primary Forest","2013","2013","1000 ha","0","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6714","Primary Forest","2014","2014","1000 ha","0","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6714","Primary Forest","2015","2015","1000 ha","0","X","Figure from external organization",""
"RL","Land Use","012","Algeria","5110","Area","6714","Primary Forest","2016","2016","1000 ha","0","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6714","Primary Forest","2017","2017","1000 ha","0","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6714","Primary Forest","2018","2018","1000 ha","0","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6714","Primary Forest","2019","2019","1000 ha","0","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6714","Primary Forest","2020","2020","1000 ha","0","X","Figure from external organization",""
"RL","Land Use","012","Algeria","5110","Area","6714","Primary Forest","2021","2021","1000 ha","0","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6714","Primary Forest","2022","2022","1000 ha","0","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6714","Primary Forest","2023","2023","1000 ha","0","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6714","Primary Forest","2024","2024","1000 ha","0","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6714","Primary Forest","2025","2025","1000 ha","0","X","Figure from external organization",""
"RL","Land Use","012","Algeria","5110","Area","6716","Planted Forest","2010","2010","1000 ha","263.25","X","Figure from external organization",""
"RL","Land Use","012","Algeria","5110","Area","6716","Planted Forest","2011","2011","1000 ha","263.876","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6716","Planted Forest","2012","2012","1000 ha","264.502","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6716","Planted Forest","2013","2013","1000 ha","265.128","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6716","Planted Forest","2014","2014","1000 ha","265.754","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6716","Planted Forest","2015","2015","1000 ha","266.38","X","Figure from external organization",""
"RL","Land Use","012","Algeria","5110","Area","6716","Planted Forest","2016","2016","1000 ha","267.006","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6716","Planted Forest","2017","2017","1000 ha","267.632","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6716","Planted Forest","2018","2018","1000 ha","268.258","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6716","Planted Forest","2019","2019","1000 ha","268.884","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6716","Planted Forest","2020","2020","1000 ha","269.51","X","Figure from external organization",""
"RL","Land Use","012","Algeria","5110","Area","6716","Planted Forest","2021","2021","1000 ha","270.136","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6716","Planted Forest","2022","2022","1000 ha","270.762","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6716","Planted Forest","2023","2023","1000 ha","271.388","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6716","Planted Forest","2024","2024","1000 ha","272.014","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6716","Planted Forest","2025","2025","1000 ha","272.64","X","Figure from external organization",""
"RL","Land Use","016","American Samoa","5110","Area","6600","Country area","2010","2010","1000 ha","20","A","Official figure",""
"RL","Land Use","016","American Samoa","5110","Area","6600","Country area","2011","2011","1000 ha","20","A","Official figure",""
"RL","Land Use","016","American Samoa","5110","Area","6600","Country area","2012","2012","1000 ha","20","A","Official figure",""
"RL","Land Use","016","American Samoa","5110","Area","6600","Country area","2013","2013","1000 ha","20","A","Official figure",""
"RL","Land Use","016","American Samoa","5110","Area","6600","Country area","2014","2014","1000 ha","20","A","Official figure",""
"RL","Land Use","016","American Samoa","5110","Area","6600","Country area","2015","2015","1000 ha","20","A","Official figure",""
"RL","Land Use","016","American Samoa","5110","Area","6600","Country area","2016","2016","1000 ha","20","A","Official figure",""
"RL","Land Use","016","American Samoa","5110","Area","6600","Country area","2017","2017","1000 ha","20","A","Official figure",""
"RL","Land Use","016","American Samoa","5110","Area","6600","Country area","2018","2018","1000 ha","20","A","Official figure",""
"RL","Land Use","016","American Samoa","5110","Area","6600","Country area","2019","2019","1000 ha","20","A","Official figure",""
"RL","Land Use","016","American Samoa","5110","Area","6600","Country area","2020","2020","1000 ha","20","A","Official figure",""
"RL","Land Use","016","American Samoa","5110","Area","6600","Country area","2021","2021","1000 ha","20","A","Official figure",""
"RL","Land Use","016","American Samoa","5110","Area","6600","Country area","2022","2022","1000 ha","20","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6600","Country area","2023","2023","1000 ha","20","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6646","Forest land","2010","2010","1000 ha","16.19","X","Figure from external organization",""
"RL","Land Use","016","American Samoa","5110","Area","6646","Forest land","2011","2011","1000 ha","16.122","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6646","Forest land","2012","2012","1000 ha","16.054","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6646","Forest land","2013","2013","1000 ha","15.986","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6646","Forest land","2014","2014","1000 ha","15.918","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6646","Forest land","2015","2015","1000 ha","15.85","X","Figure from external organization",""
"RL","Land Use","016","American Samoa","5110","Area","6646","Forest land","2016","2016","1000 ha","15.85","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6646","Forest land","2017","2017","1000 ha","15.85","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6646","Forest land","2018","2018","1000 ha","15.85","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6646","Forest land","2019","2019","1000 ha","15.85","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6646","Forest land","2020","2020","1000 ha","15.85","X","Figure from external organization",""
"RL","Land Use","016","American Samoa","5110","Area","6646","Forest land","2021","2021","1000 ha","15.85","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6646","Forest land","2022","2022","1000 ha","15.85","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6646","Forest land","2023","2023","1000 ha","15.85","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6646","Forest land","2024","2024","1000 ha","15.85","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6646","Forest land","2025","2025","1000 ha","15.85","X","Figure from external organization",""
"RL","Land Use","016","American Samoa","5110","Area","6717","Naturally regenerating forest","2010","2010","1000 ha","16.19","X","Figure from external organization",""
"RL","Land Use","016","American Samoa","5110","Area","6717","Naturally regenerating forest","2011","2011","1000 ha","16.122","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6717","Naturally regenerating forest","2012","2012","1000 ha","16.054","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6717","Naturally regenerating forest","2013","2013","1000 ha","15.986","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6717","Naturally regenerating forest","2014","2014","1000 ha","15.918","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6717","Naturally regenerating forest","2015","2015","1000 ha","15.85","X","Figure from external organization",""
"RL","Land Use","016","American Samoa","5110","Area","6717","Naturally regenerating forest","2016","2016","1000 ha","15.85","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6717","Naturally regenerating forest","2017","2017","1000 ha","15.85","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6717","Naturally regenerating forest","2018","2018","1000 ha","15.85","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6717","Naturally regenerating forest","2019","2019","1000 ha","15.85","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6717","Naturally regenerating forest","2020","2020","1000 ha","15.85","X","Figure from external organization",""
"RL","Land Use","016","American Samoa","5110","Area","6717","Naturally regenerating forest","2021","2021","1000 ha","15.85","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6717","Naturally regenerating forest","2022","2022","1000 ha","15.85","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6717","Naturally regenerating forest","2023","2023","1000 ha","15.85","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6717","Naturally regenerating forest","2024","2024","1000 ha","15.85","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6717","Naturally regenerating forest","2025","2025","1000 ha","15.85","X","Figure from external organization",""
"RL","Land Use","016","American Samoa","5110","Area","6714","Primary Forest","2010","2010","1000 ha","2.69","X","Figure from external organization",""
"RL","Land Use","016","American Samoa","5110","Area","6714","Primary Forest","2011","2011","1000 ha","2.428","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6714","Primary Forest","2012","2012","1000 ha","2.166","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6714","Primary Forest","2013","2013","1000 ha","1.904","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6714","Primary Forest","2014","2014","1000 ha","1.642","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6714","Primary Forest","2015","2015","1000 ha","1.38","X","Figure from external organization",""
"RL","Land Use","016","American Samoa","5110","Area","6714","Primary Forest","2016","2016","1000 ha","1.122","I","Value imputed by a receiving agency",""
